"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","NuancePolitique","IdTerritoire","NomTerritoire","TypeTerritoire","Sources"
"bdr_002","AHAMADA","SAID","M",1972-11-07,"DEPUTE",2017-06-21,2022-06-10,"FM",NA,NA,NA,NA,"LREM",NA,"7e CIRCONSCRIPTION BOUCHES DU RHONE","Circonscription législative","WIKIPEDIA"
"bdr_002","AHAMADA","SAID","M",1972-11-07,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM",NA,NA,NA,NA,"ECO",NA,"MARSEILLE","Commune","WIKIPEDIA"
"bdr_003","AILLAUD","THERESE","F",1931-11-05,"DEPUTE",1993-03-21,1997-05-20,"FM",NA,NA,NA,NA,"DROITE",NA,"16e CIRCONSCRIPTION BOUCHES DU RHONE","Circonscription législative","WIKIPEDIA"
"bdr_003","AILLAUD","THERESE","F",1931-11-05,"CONSEILLER MUNICIPAL",1983-03-06,1989-03-10,"FM","M",1983-03-06,1989-03-10,"FM","DROITE",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_003","AILLAUD","THERESE","F",1931-11-05,"CONSEILLER MUNICIPAL",1989-03-19,1995-06-10,"FM","M",1989-03-19,1995-06-10,"FM","DROITE",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_003","AILLAUD","THERESE","F",1931-11-05,"CONSEILLER MUNICIPAL",1995-06-18,2001-03-10,"FM","M",1995-06-18,2001-03-10,"FM","DROITE",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_003","AILLAUD","THERESE","F",1931-11-05,"CONSEILLER MUNICIPAL",2001-03-11,2002-06-01,"JUSTICE","M",2001-03-11,2002-06-01,"JUSTICE","DROITE",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_003","AILLAUD","THERESE","F",1931-11-05,"CONSEILLER DEPARTEMENTAL",1985-03-10,1992-03-20,"FM",NA,NA,NA,NA,"DROITE",NA,"TARASCON","Canton","WIKIPEDIA"
"bdr_003","AILLAUD","THERESE","F",1931-11-05,"CONSEILLER DEPARTEMENTAL",1992-03-22,1998-03-10,"FM",NA,NA,NA,NA,"DROITE",NA,"TARASCON","Canton","WIKIPEDIA"
"bdr_003","AILLAUD","THERESE","F",1931-11-05,"CONSEILLER DEPARTEMENTAL",1998-03-15,2002-06-01,"JUSTICE",NA,NA,NA,NA,"DROITE",NA,"TARASCON","Canton","WIKIPEDIA"
